epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,300.546,0.41351,0.28149,1.09428,0.74985,0.99925,0.86741,0.37909,1.71284,1.68879,2.84059,0.000677243,0.000677243,0.000677243
106,303.411,0.38511,0.30728,1.10111,0.71527,0.94237,0.80562,0.34359,1.67728,1.86485,2.90699,0.00067689,0.00067689,0.00067689
107,306.265,0.32431,0.2805,1.061,0.82555,0.95833,0.94914,0.35491,2.0034,1.31686,3.17874,0.000676536,0.000676536,0.000676536
108,309.115,0.35992,0.33201,1.08927,0.82498,1,0.92725,0.43659,1.65266,1.23248,2.57918,0.000676183,0.000676183,0.000676183
109,311.973,0.39632,0.26158,1.09086,0.8882,1,0.98269,0.76468,0.95082,0.74022,1.73077,0.00067583,0.00067583,0.00067583
110,314.827,0.42081,0.29382,1.14706,0.95616,1,0.987,0.87749,0.55244,0.41921,1.15369,0.000675476,0.000675476,0.000675476
111,317.668,0.41406,0.33276,1.12822,0.95781,1,0.977,0.86092,0.53671,0.40598,1.08093,0.000675123,0.000675123,0.000675123
112,320.52,0.32726,0.26299,1.06166,0.95118,0.95833,0.96097,0.82064,0.66444,0.55036,1.24348,0.000674769,0.000674769,0.000674769
113,323.363,0.39608,0.28685,1.11448,0.91401,1,0.92808,0.69132,0.94946,0.86086,1.50153,0.000674416,0.000674416,0.000674416
114,326.211,0.4151,0.32667,1.142,0.74914,1,0.84095,0.58639,1.10248,0.87334,1.72736,0.000674062,0.000674062,0.000674062
115,329.07,0.39468,0.2929,1.08564,0.66346,0.95833,0.71098,0.43782,1.30355,1.26259,1.93789,0.000673709,0.000673709,0.000673709
116,331.911,0.40664,0.29881,1.11239,0.7695,0.97403,0.87678,0.61544,1.06421,0.88414,1.8345,0.000673356,0.000673356,0.000673356
117,334.788,0.36702,0.29506,1.08579,0.85139,0.95497,0.9228,0.70372,0.86505,0.65885,1.47769,0.000673002,0.000673002,0.000673002
118,337.636,0.39227,0.28608,1.09492,0.72264,0.91667,0.86994,0.62046,1.03655,1.06442,1.65356,0.000672649,0.000672649,0.000672649
119,340.495,0.39952,0.28035,1.11427,0.58235,0.70833,0.60341,0.37147,1.38553,1.5449,1.91624,0.000672295,0.000672295,0.000672295
120,343.34,0.38033,0.26405,1.0722,0.57781,0.83333,0.6734,0.33581,1.29134,1.48878,1.6711,0.000671942,0.000671942,0.000671942
121,346.2,0.41095,0.29,1.13567,0.70379,0.95833,0.83041,0.48114,0.93989,1.26036,1.50367,0.000671588,0.000671588,0.000671588
122,349.07,0.37331,0.27845,1.07046,0.95202,1,0.995,0.74464,0.80183,0.71349,1.49954,0.000671235,0.000671235,0.000671235
123,351.924,0.39405,0.33212,1.11114,0.99543,1,0.995,0.77111,0.79738,0.51157,1.47288,0.000670882,0.000670882,0.000670882
124,354.786,0.35401,0.25458,1.08126,0.94478,1,0.9786,0.73575,0.93114,0.63553,1.65757,0.000670528,0.000670528,0.000670528
125,357.648,0.37466,0.30414,1.08237,0.89794,1,0.97077,0.6842,0.90357,0.74322,1.63713,0.000670175,0.000670175,0.000670175
